symbol,date,open,high,low,close,volume,ema,atr,bb_middle,bb_upper,bb_lower,bb_width,volatility,obv,macd_12_26,macd_signal_12_26_9
GOOGL,2022-08-15 04:00:00 UTC,121.13,122.3,120.61,,21607528.0,NaN,NaN,,0.0,0.0,NaN,NaN,21607528.0,NaN,NaN
GOOGL,2022-08-16 04:00:00 UTC,121.52,122.43,120.64,,20858130.0,NaN,NaN,,0.0,0.0,NaN,NaN,749398.0,NaN,NaN
GOOGL,2022-08-17 04:00:00 UTC,120.12,121.29,119.38,,25183861.0,NaN,NaN,,0.0,0.0,NaN,NaN,-24434463.0,NaN,NaN
GOOGL,2022-08-18 04:00:00 UTC,119.43,120.82,118.72,,19884574.0,NaN,NaN,,0.0,0.0,NaN,NaN,-4549889.0,NaN,NaN
GOOGL,2022-08-19 04:00:00 UTC,119.06,119.15,116.76,,25301411.0,NaN,NaN,,0.0,0.0,NaN,NaN,-29851300.0,NaN,NaN
GOOGL,2022-08-22 04:00:00 UTC,115.2,115.63,113.85,,24027670.0,NaN,NaN,,0.0,0.0,NaN,NaN,-53878970.0,NaN,NaN
GOOGL,2022-08-23 04:00:00 UTC,113.475,115.01,113.43,,17428811.0,NaN,NaN,,0.0,0.0,NaN,NaN,-71307781.0,NaN,NaN
GOOGL,2022-08-24 04:00:00 UTC,113.5,114.78,112.8701,,20366310.0,NaN,NaN,,0.0,0.0,NaN,NaN,-91674091.0,NaN,NaN
GOOGL,2022-08-25 04:00:00 UTC,114.235,116.72,114.11,,19294089.0,NaN,NaN,,0.0,0.0,NaN,NaN,-72380002.0,NaN,NaN
GOOGL,2022-08-26 04:00:00 UTC,114.72,115.12,110.19,,41924173.0,NaN,NaN,,0.0,0.0,NaN,NaN,-114304175.0,NaN,NaN
GOOGL,2022-08-29 04:00:00 UTC,109.99,110.95,108.8,,23672071.0,NaN,NaN,,0.0,0.0,NaN,NaN,-137976246.0,NaN,NaN
GOOGL,2022-08-30 04:00:00 UTC,110.17,110.5,107.8,,29524230.0,NaN,NaN,,0.0,0.0,NaN,NaN,-167500476.0,NaN,NaN
GOOGL,2022-08-31 04:00:00 UTC,110.65,110.85,108.13,,34146633.0,NaN,NaN,,0.0,0.0,NaN,NaN,-201647109.0,NaN,NaN
GOOGL,2022-09-01 04:00:00 UTC,108.28,110.445,107.36,,30742133.0,NaN,2.736064285714287,,0.0,0.0,NaN,2.4932242443177395,-170904976.0,NaN,NaN
